Page,Section,Type,Content
Homepage,Organization,Body,"Supported by a team of more than 150 professionals across our portfolio, leadership is focused on building the infrastructure, platforms, and services that empower independent creators, labels, and music businesses worldwide."
Homepage,News,Heading,News
Homepage,News,Date,may 2026
Homepage,News,Title,Jay Moore Appointed Chief Investment Officer at Too Lost
Homepage,News,Source,Music Business Worldwide
Homepage,News,Description,"Moore joins from Position Music to lead investment strategy as Too Lost expands its catalog and capital platform."
Homepage,News,Date,jun 2026
Homepage,News,Title,Billboard Indie Power Players 2026
Homepage,News,Source,Billboard
Homepage,News,Description,"Too Lost leadership featured among Billboard's annual Indie Power Players photo gallery."
Homepage,News,Date,jun 2026
Homepage,News,Title,"Indie Music Execs on AI, Consolidation, and Industry Changes"
Homepage,News,Source,Billboard
Homepage,News,Description,"Industry leaders including Too Lost weigh in on the biggest forces reshaping independent music."
Homepage,News,Date,jun 2026
Homepage,News,Title,What Excites Music Execs Most About the Indie World
Homepage,News,Source,Billboard
Homepage,News,Description,Top executives share what drives their enthusiasm for the independent music sector.
Homepage,News,Date,jun 2026
Homepage,News,Title,Indie Music Execs on Biggest Industry Changes
Homepage,News,Source,Billboard
Homepage,News,Description,"Billboard roundtable on the transformative shifts in independent music distribution and services."
Homepage,News,Date,may 2026
Homepage,News,Title,GYRO Group Recruits Henry Compton
Homepage,News,Source,Billboard
Homepage,News,Description,"Australia's leading indie distributor strengthens leadership team with key hire."
Homepage,Careers,Heading,Join Us
Homepage,Careers,Count,11
Homepage,Careers,Job Title,A&R Manager (Miami)
Homepage,Careers,Job Department,a&r · contractor
Homepage,Careers,Job Location,"Miami, FL"
Homepage,Careers,Job Title,A&R Manager (UK)
Homepage,Careers,Job Department,a&r · contractor
Homepage,Careers,Job Location,United Kingdom
Homepage,Careers,Job Title,A&R Manager (Nashville)
Homepage,Careers,Job Department,a&r · contractor
Homepage,Careers,Job Location,"Nashville, TN"
Homepage,Careers,Job Title,A&R Manager (LATAM)
Homepage,Careers,Job Department,a&r · contractor
Homepage,Careers,Job Location,Latin America
Homepage,Careers,Job Title,A&R Manager (Asia)
Homepage,Careers,Job Department,a&r · contractor
Homepage,Careers,Job Location,Asia
Homepage,Careers,Job Title,Senior Full Stack Developer
Homepage,Careers,Job Department,engineering · full time
Homepage,Careers,Job Location,"New York, NY · $130,000 – $140,000"
Homepage,Careers,Job Title,UGC Administration Coordinator
Homepage,Careers,Job Department,operations · full time
Homepage,Careers,Job Location,"New York, NY · $65,000 – $70,000"
Homepage,Careers,Job Title,DSP Relations Manager
Homepage,Careers,Job Department,partnerships · full time
Homepage,Careers,Job Location,"Los Angeles, CA · $65,000 – $75,000"
Homepage,Careers,Job Title,Project Manager
Homepage,Careers,Job Department,operations · full time
Homepage,Careers,Job Location,"New York, NY · $100,000 – $110,000"
Homepage,Careers,Job Title,Business Intelligence & Product Analyst
Homepage,Careers,Job Department,data · full time
Homepage,Careers,Job Location,"New York, NY or Los Angeles, CA · $95,000 – $100,000"
Homepage,Careers,Job Title,Finance & Accounting Manager
Homepage,Careers,Job Department,finance · full time
Homepage,Careers,Job Location,"New York, NY · $135,000 – $145,000"
Homepage,CTA,Heading,Press Inquiries
Homepage,CTA,Link Text,get in touch →
About,Hero,Tag,/ about
About,Hero,Heading,About Too Lost Music Group
About,Hero,Description,"Too Lost Music Group is a global independent music company shaping the future of music, media, and technology — powering hundreds of thousands of artists and millions of recordings worldwide."
About,Who We Are,Tag,/ who we are
About,Who We Are,Heading,Who we are
About,Who We Are,Description,"Founded with the belief that the future of music belongs to those who build it, we invest in and operate companies that service independent artists and labels, build innovative music technology, and push culture forward."
About,What We Do,Tag,/ what we do
About,What We Do,Heading,What we do
About,What We Do,Description,"From distribution infrastructure to creative tools, from media ventures to artist services — we operate at the intersection of culture and technology. Our divisions span the full spectrum of the modern music industry."
Contact,Hero,Tag,/ contact
Contact,Hero,Heading,Get in Touch
Contact,Hero,Description,"For inquiries about our divisions, partnership opportunities, or general information, reach out to our team."
Contact,Inquiries,Tag,/ inquiries
Contact,Inquiries,Heading,Reach Us
Contact,Inquiries,Card Title,General Inquiries
Contact,Inquiries,Card Email,info@tlmg.co
Contact,Inquiries,Card Title,Distribution Support
Contact,Inquiries,Card Email,support@toolost.com
Contact,Inquiries,Card Title,Careers
Contact,Inquiries,Card Email,https://toolost.com/careers
Press,Hero,Tag,/ press
Press,Hero,Heading,Press Inquiries
Press,Hero,Description,"For media inquiries, interviews, or press kit access, please get in touch."
Press,Contact,Tag,/ contact
Press,Contact,Heading,Contact
Press,Contact,Description,Email us at press@tlmg.co
Careers,Hero,Tag,/ careers
Careers,Hero,Heading,Join Our Team
Careers,Hero,Description,We're building the next generation of music infrastructure. Come help us shape it.
Careers,Open Positions,Tag,/ open positions
Careers,Open Positions,Heading,Open Positions
Careers,Open Positions,Count,3
Careers,Open Positions,Job Title,Senior Full-Stack Developer
Careers,Open Positions,Job Department,engineering
Careers,Open Positions,Job Location,Remote · Full-time
Careers,Open Positions,Job Title,Product Manager — Artist Tools
Careers,Open Positions,Job Department,product
Careers,Open Positions,Job Location,Remote · Full-time
Careers,Open Positions,Job Title,Head of Label Services
Careers,Open Positions,Job Department,operations
Careers,Open Positions,Job Location,Los Angeles · Full-time
Governance,Hero,Tag,/ governance
Governance,Hero,Heading,Corporate Governance
Governance,Hero,Description,"Transparency, accountability, and integrity guide everything we do."
Governance,Mission,Tag,/ mission
Governance,Mission,Heading,Our Mission
Governance,Mission,Description,"Our mission is to provide creators, labels, and music businesses with the infrastructure, technology, capital, and global access needed to build, scale, and protect valuable music assets. Through a portfolio of music companies, brands, platforms, and owned catalog IP, we operate across distribution, publishing technology, rights management, catalog ownership, and music services. Our comprehensive framework empowers the independent music sector to grow efficiently, create long-term value, and maintain control over rights, ownership, and creative independence."
Governance,Board,Tag,/ board of directors
Governance,Board,Heading,Board
Governance,Board,Name,Gregory Hirschhorn
Governance,Board,Role,board director
Governance,Board,Description,Too Lost Music Group
Governance,Board,Bio,"Gregory Hirschhorn is the Co-Founder and Chief Executive Officer of Too Lost, one of the fastest-growing and largest independent music distributors worldwide. He leads the company's global strategy, overseeing a catalog of more than five million songs for over 500,000 artists and labels through technology-driven distribution, publishing, rights management, and artist services."
Governance,Board,Name,Alex Silverstein
Governance,Board,Role,board director
Governance,Board,Description,Too Lost Music Group
Governance,Board,Bio,"Alex Silverstein is the Co-Founder and Chief Operating Officer of Too Lost, one of the fastest-growing and largest independent music distributors worldwide. He helps oversee the company's global operations, supporting a catalog of more than five million songs for over 500,000 artists and labels through technology-driven distribution, publishing, rights management, and artist services."
Governance,Board,Name,Michael S. Berk
Governance,Board,Role,board director
Governance,Board,Description,TA Associates
Governance,Board,Bio,"Michael S. Berk is a Managing Director at TA Associates and co-head of the firm's North America Services Group, where he focuses on investments across business and financial services companies."
Governance,Board,Name,Gabriel Weissmann
Governance,Board,Role,board director
Governance,Board,Description,TA Associates
Governance,Board,Bio,"Gabriel I. Weissmann serves on the Too Lost board as a representative of TA Associates, where he is a Vice President based in the firm's Boston office."
Governance,Board,Name,Amara Suebsaeng
Governance,Board,Role,board director
Governance,Board,Description,TA Associates
Governance,Board,Bio,"Amara Suebsaeng is a Director at TA Associates, based in the firm's Boston office, where she helps lead investments in technology-enabled services companies across North America."
Governance,Board,Name,Charles Goldstuck
Governance,Board,Role,board director
Governance,Board,Description,GoldState Music
Governance,Board,Bio,"Charles Goldstuck is the founder and Managing Partner of GoldState Music, a private investment firm focused on investing in the music sector."
Governance,Investors,Tag,/ capital
Governance,Investors,Heading,Investors
Governance,Investors,Description,"Our investors include leading growth equity and strategic partners with deep experience scaling technology, media, music, and creator-focused businesses. Their support provides the company with long-term capital, institutional expertise, and strategic resources to accelerate growth across distribution, publishing technology, rights management, catalog ownership, and global music services. Together, our investor base helps strengthen our ability to build durable infrastructure for the independent music economy."
Offices,Hero,Tag,/ offices
Offices,Hero,Heading,Our Offices
Offices,Hero,Description,"Operating across six cities on four continents, we work where music happens."
Offices,Locations,Tag,/ locations
Offices,Locations,Heading,Global Presence
Offices,Locations,Count,6
Offices,Locations,City,"Hollywood, California"
Offices,Locations,Country,United States
Offices,Locations,Role,Too Lost
Offices,Locations,City,"New York, New York"
Offices,Locations,Country,United States
Offices,Locations,Role,Too Lost
Offices,Locations,City,Melbourne
Offices,Locations,Country,Australia
Offices,Locations,Role,Xelon Entertainment
Offices,Locations,City,Brisbane
Offices,Locations,Country,Australia
Offices,Locations,Role,GYRO Group
Offices,Locations,City,Reykjavík
Offices,Locations,Country,Iceland
Offices,Locations,Role,Too Lost
Offices,Locations,City,London
Offices,Locations,Country,United Kingdom
Offices,Locations,Role,Xelon Entertainment
Team,Hero,Tag,/ team
Team,Hero,Heading,Our Team
Team,Hero,Description,"Our leadership team brings together deep experience across music, technology, operations, finance, rights management, and global business development. Supported by a team of more than 150 professionals across our portfolio, leadership is focused on building the infrastructure, platforms, and services that empower independent creators, labels, and music businesses worldwide."
Team,People,Tag,/ people
Team,People,Heading,Leadership
Team,People,Name,Bjarki Lárusson
Team,People,Role,office of the ceo
Team,People,Description,Founder & CEO
News,Hero,Heading,News
News,Articles,Title,Jay Moore Appointed Chief Investment Officer at Too Lost
News,Articles,Date,2026-05-28
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,"Moore joins from Position Music to lead investment strategy as Too Lost expands its catalog and capital platform."
News,Articles,URL,https://www.musicbusinessworldwide.com/jay-moore-appointed-chief-investment-officer-at-too-lost/
News,Articles,Title,Too Lost Raises Capital From TA Associates and GoldState
News,Articles,Date,2026-03-16
News,Articles,Source,Billboard
News,Articles,Summary,"Distribution and artist services platform secures strategic investment led by GoldState Music and TA Associates to fuel global expansion."
News,Articles,URL,https://www.billboard.com/pro/too-lost-raises-investment-ta-associates-goldstate/
News,Articles,Title,Too Lost Launches Profile Defender to Shield Artists From AI-Driven Fakes
News,Articles,Date,2026-03-02
News,Articles,Source,Digital Music News
News,Articles,Summary,"New feature monitors and prevents unauthorized AI-generated content from appearing on artists' streaming profiles."
News,Articles,URL,https://www.digitalmusicnews.com/2026/03/02/too-lost-profile-defender-feature/
News,Articles,Title,Too Lost Saw 130% Growth Over 2025—Here's What's Next
News,Articles,Date,2026-01-22
News,Articles,Source,Digital Music News
News,Articles,Summary,"CEO Gregory Hirschhorn reflects on major milestones including revenue growth, new ventures, and plans for 2026."
News,Articles,URL,https://www.digitalmusicnews.com/2026/01/22/too-lost-2025-milestone-growth/
News,Articles,Title,Too Lost Expands Global Reach With Melon in South Korea
News,Articles,Date,2025-11-13
News,Articles,Source,Digital Music News
News,Articles,Summary,"Direct partnership with South Korea's largest local streaming platform gives artists access to one of Asia's most important music markets."
News,Articles,URL,https://www.digitalmusicnews.com/2025/11/13/too-lost-global-expansion-south-korea-melon/
News,Articles,Title,Too Lost Partners with Xposure Music to Co-Fund Catalog Acquisitions
News,Articles,Date,2025-10-30
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,"Partnership plans to deploy tens of millions of dollars in upcoming catalog deals, combining data-driven valuation with global distribution infrastructure."
News,Articles,URL,https://www.musicbusinessworldwide.com/too-lost-partners-with-xposure-music-to-co-fund-catalog-acquisitions-with-plans-to-deploy-tens-of-millions-of-dollars-in-upcoming-deals/
News,Articles,Title,The All-American Rejects Sign Global Distribution Deal with Too Lost
News,Articles,Date,2025-10-21
News,Articles,Source,Digital Music News
News,Articles,Summary,"Pop-rock band debuts under independent banner with first album in over a decade, distributed globally through Too Lost."
News,Articles,URL,https://www.digitalmusicnews.com/2025/10/21/the-all-american-rejects-too-lost-distribution/
News,Articles,Title,Too Lost Makes Seven-Figure Investment in Rebellion Records
News,Articles,Date,2025-10-09
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,Investment accelerates viral marketing-driven indie label that generated over 5 billion streams since its 2023 launch.
News,Articles,URL,https://www.musicbusinessworldwide.com/too-lost-makes-seven-figure-investment-into-independent-label-rebellion-records/
News,Articles,Title,Too Lost Makes Seven-Figure Investment in AntiFragile Equity Partners
News,Articles,Date,2025-10-15
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,Investment supports catalog acquisition startup focused on acquiring and monetizing undervalued music rights.
News,Articles,URL,https://www.musicbusinessworldwide.com/too-lost-makes-seven-figure-investment-in-catalog-acquisition-startup-antifragile-equity-partners/
News,Articles,Title,"EVEN Partners with Too Lost to Bring Direct-to-Fan Sales to 400,000 Artists"
News,Articles,Date,2025-09-24
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,"Integration gives artists access to D2C storefronts and daily payouts, proving superfans can outperform hundreds of thousands of passive listeners."
News,Articles,URL,https://www.musicbusinessworldwide.com/even-partners-with-too-lost-to-bring-direct-to-fan-sales-to-400000-artists-and-labels/
News,Articles,Title,On the Radar UK Series Launched with Olympus Projects & Too Lost
News,Articles,Date,2025-09-10
News,Articles,Source,Digital Music News
News,Articles,Summary,"Expansion into UK market spotlights London's underground music scene across drill, grime, rap, and experimental genres."
News,Articles,URL,https://www.digitalmusicnews.com/2025/09/10/on-the-radar-uk-series/
News,Articles,Title,"Too Lost Achieves #90 on Inc. 5000, #2 in Media & Entertainment"
News,Articles,Date,2025-08-28
News,Articles,Source,Digital Music News
News,Articles,Summary,Named among America's fastest-growing private companies with top honors in media sector and NYC rankings.
News,Articles,URL,https://www.digitalmusicnews.com/2025/08/28/too-lost-inc-5000-inclusion/
News,Articles,Title,AI Music App Hook Expands Distribution with Too Lost Partnership
News,Articles,Date,2025-08-15
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,AI remix platform integrates Too Lost distribution to deliver user-created remixes to streaming services.
News,Articles,URL,https://www.musicbusinessworldwide.com/ai-music-app-hook-expands-distribution-network-with-too-lost-partnership/
News,Articles,Title,Michael Lewan Named Executive Director of Music Fights Fraud Alliance
News,Articles,Date,2025-07-10
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,"Too Lost joins YouTube Music, ONErpm, Revelator, and others as founding members of the anti-fraud coalition."
News,Articles,URL,https://www.musicbusinessworldwide.com/michael-lewan-named-executive-director-of-music-fights-fraud-alliance-youtube-music-onerpm-revelator-too-lost-and-more-join-as-members/
News,Articles,Title,Too Lost Expands to Brazil with Olympus Projects
News,Articles,Date,2025-06-02
News,Articles,Source,Digital Music News
News,Articles,Summary,"Partnership launches On the Radar Brazil, generating hundreds of millions of views and multiple Spotify Viral 100 entries."
News,Articles,URL,https://www.digitalmusicnews.com/2025/06/02/too-lost-olympus-projects-brazil-music/
News,Articles,Title,GYRO Group Appoints Matthew Rogers as Chief Commercial Officer
News,Articles,Date,2025-06-20
News,Articles,Source,Billboard
News,Articles,Summary,Rogers takes on expanded role leading commercial strategy across GYRO Group and DistroDirect.
News,Articles,URL,https://www.billboard.com/pro/gyro-group-appoints-matthew-rogers-chief-commercial-officer/
News,Articles,Title,Too Lost World Building Panel at Dream Con
News,Articles,Date,2025-05-27
News,Articles,Source,Digital Music News
News,Articles,Summary,Company shares insights on building the future of independent music infrastructure at major industry conference.
News,Articles,URL,https://www.digitalmusicnews.com/2025/05/27/too-lost-world-building-panel-dream-con/
News,Articles,Title,"Too Lost Unveils Mobile Platform for Anywhere, Anytime Access"
News,Articles,Date,2025-05-13
News,Articles,Source,Digital Music News
News,Articles,Summary,"New iOS and Android app gives artists complete distribution capabilities from their phones, including uploads, analytics, and payouts."
News,Articles,URL,https://www.digitalmusicnews.com/2025/05/13/too-lost-mobile-platform/
News,Articles,Title,Manifest Financial Partners with Too Lost
News,Articles,Date,2025-05-05
News,Articles,Source,Digital Music News
News,Articles,Summary,New payment partnership brings flexible financial tools and payout options to independent artists and labels.
News,Articles,URL,https://www.digitalmusicnews.com/2025/05/05/manifest-financial-too-lost-partnership/
News,Articles,Title,Too Lost Fan Blast: Keeping Fans Engaged and Up to Date
News,Articles,Date,2025-04-03
News,Articles,Source,Musically
News,Articles,Summary,New Fan Blast tool allows artists to communicate directly with their audience across streaming platforms.
News,Articles,URL,https://musically.com/2025/04/03/too-lost-fan-blast-keeping-fans-engaged-and-up-to-date/
News,Articles,Title,Too Lost Partners with Lissen Interactive Platform
News,Articles,Date,2025-04-01
News,Articles,Source,Digital Music News
News,Articles,Summary,Partnership integrates interactive listening experiences into the Too Lost distribution ecosystem.
News,Articles,URL,https://www.digitalmusicnews.com/2025/04/01/too-lost-lissen-partnership-interactive-platform/
News,Articles,Title,Genius Partners with Too Lost on New Distribution Venture
News,Articles,Date,2025-03-13
News,Articles,Source,Digital Music News
News,Articles,Summary,Collaboration combines Genius editorial platform with Too Lost distribution tech to support emerging artists.
News,Articles,URL,https://www.digitalmusicnews.com/2025/03/13/genius-too-lost-partnership/
News,Articles,Title,Big Ass Kids Team with Too Lost for Indie Music Distribution
News,Articles,Date,2025-03-04
News,Articles,Source,Digital Music News
News,Articles,Summary,New partnership brings hip-hop collective into the Too Lost ecosystem for independent distribution.
News,Articles,URL,https://www.digitalmusicnews.com/2025/03/04/big-ass-kids-team-too-lost-indie-music-distribution/
News,Articles,Title,Why Top Artists Are Turning to Distribution Company Too Lost
News,Articles,Date,2025-02-12
News,Articles,Source,Billboard
News,Articles,Summary,Billboard profiles the rapid rise of Too Lost and why established artists are choosing independent distribution over major labels.
News,Articles,URL,https://www.billboard.com/pro/too-lost-distribution-greg-hirschhorn-interview/
News,Articles,Title,Too Lost Featured on Forbes 30 Under 30
News,Articles,Date,2025-01-01
News,Articles,Source,Forbes
News,Articles,Summary,"Cofounders Gregory Hirschhorn, Bjarki Larusson, and Alex Silverstein named to Forbes 30 Under 30 Music list."
News,Articles,URL,https://www.forbes.com/profile/too-lost/
News,Articles,Title,Sweat It Out Publishing Launch
News,Articles,Date,2025-01-15
News,Articles,Source,The Music Network
News,Articles,Summary,Iconic Australian electronic label launches publishing arm via The Music Network.
News,Articles,URL,https://themusicnetwork.com/news/sweat-it-out-publishing
News,Articles,Title,Billboard Music Industry 40 Under 40
News,Articles,Date,2025-11-01
News,Articles,Source,Billboard
News,Articles,Summary,Too Lost founders recognized on Billboard's prestigious 40 Under 40 list for music industry leaders.
News,Articles,URL,https://www.billboard.com/p/music-industry-40-under-40-list-2025/
News,Articles,Title,"Power 50: Viv Mellish & Andy Irvine, GYRO Group"
News,Articles,Date,2025-11-26
News,Articles,Source,The Music
News,Articles,Summary,GYRO leadership recognized in Australia's annual music industry power list.
News,Articles,URL,https://themusic.com.au/industry/power-50-2025-viv-mellish-andy-irvine-gyrostream/jpIsgIOChYQ/26-11-25
News,Articles,Title,GYRO and DistroDirect Launch Group Speed Artist Services Venture
News,Articles,Date,2025-03-10
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,New artist services company combines marketing firepower with distribution infrastructure.
News,Articles,URL,https://www.musicbusinessworldwide.com/australias-gyrostream-and-distrodirect-launch-group-speed-artist-services-venture/
News,Articles,Title,How This Aussie Company Helps Indie Musicians Crack the Streaming Code
News,Articles,Date,2025-02-26
News,Articles,Source,The Guardian
News,Articles,Summary,GYRO Group's innovative approach to supporting independent artists in the streaming era.
News,Articles,URL,https://www.theguardian.com/nab-innovative-businesses/2025/feb/26/how-this-aussie-company-helps-indie-musicians-crack-the-streaming-code
News,Articles,Title,Deep Dive Into Data with Too Lost's Advanced Analytics
News,Articles,Date,2024-12-03
News,Articles,Source,Musically
News,Articles,Summary,Musically explores how Too Lost's analytics tools give independent artists major-label-level data insights.
News,Articles,URL,https://musically.com/2024/12/03/deep-dive-into-data-with-too-losts-advanced-analytics/
News,Articles,Title,HE.SHE.THEY Records Partners with Too Lost
News,Articles,Date,2024-09-30
News,Articles,Source,Digital Music News
News,Articles,Summary,Inclusive electronic music label joins Too Lost for global distribution of its diverse roster.
News,Articles,URL,https://www.digitalmusicnews.com/2024/09/30/he-she-they-records-too-lost-partnership/
News,Articles,Title,Too Lost Grows Team with New Director of HR and A&R
News,Articles,Date,2024-09-18
News,Articles,Source,Digital Music News
News,Articles,Summary,Company expands leadership team as it scales operations and artist services.
News,Articles,URL,https://www.digitalmusicnews.com/2024/09/18/too-lost-growing-new-director-of-hr-ar/
News,Articles,Title,Too Lost Extends Publishing Admin Deal with BMG
News,Articles,Date,2024-02-29
News,Articles,Source,Celebrity Access
News,Articles,Summary,Extended partnership strengthens Too Lost's publishing administration capabilities across thousands of compositions worldwide.
News,Articles,URL,https://celebrityaccess.com/2024/02/29/too-lost-extends-publishing-admin-deal-with-bmg/
News,Articles,Title,Billboard Indie Power Players 2026
News,Articles,Date,2026-06-01
News,Articles,Source,Billboard
News,Articles,Summary,Too Lost leadership featured among Billboard's annual Indie Power Players photo gallery.
News,Articles,URL,https://www.billboard.com/photos/indie-power-players-2026-photos-1236269720/
News,Articles,Title,"Indie Music Execs on AI, Consolidation, and Industry Changes"
News,Articles,Date,2026-06-01
News,Articles,Source,Billboard
News,Articles,Summary,Industry leaders including Too Lost weigh in on the biggest forces reshaping independent music.
News,Articles,URL,https://www.billboard.com/lists/indie-music-execs-ai-consolidation-changes-affect/emmanuel-zunz-onerpm-2
News,Articles,Title,What Excites Music Execs Most About the Indie World
News,Articles,Date,2026-06-01
News,Articles,Source,Billboard
News,Articles,Summary,Top executives share what drives their enthusiasm for the independent music sector.
News,Articles,URL,https://www.billboard.com/lists/what-excites-music-execs-most-about-the-indie-world/shawn-holiday-giant-music-3
News,Articles,Title,Indie Music Execs on Biggest Industry Changes
News,Articles,Date,2026-06-01
News,Articles,Source,Billboard
News,Articles,Summary,Billboard roundtable on the transformative shifts in independent music distribution and services.
News,Articles,URL,https://www.billboard.com/lists/indie-music-execs-biggest-industry-changes/
News,Articles,Title,GYRO Group Expands Into Latin America with New Office in Brazil
News,Articles,Date,2026-04-15
News,Articles,Source,Music Business Worldwide
News,Articles,Summary,Australia's largest independent distribution company opens operations in Brazil to serve growing Latin market.
News,Articles,URL,https://www.musicbusinessworldwide.com/australias-gyro-group-expands-into-latin-america-with-new-office-in-brazil/
News,Articles,Title,GYRO Group Senior Leadership Promotions
News,Articles,Date,2026-05-13
News,Articles,Source,The Music
News,Articles,Summary,"Henry Compton, Adrian Burke, and Alison Bremner promoted in leadership restructure."
